gid,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,direct_seed_senders,seed_reach_4,pagerank,betweenness_unweighted,cluster_id_example,component_id
100000000343175100,0,True,8,31,178712.0,4000039.0,14,33,22.382598818210305,1,4,0.0007132581979384051,0.0010946926090299827,10,0
100000000456947100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,86,16
100000000580561100,0,True,2,3,27980.0,1488077.0,3,13,53.183595425303785,0,0,0.0008349888856684654,1.1888811083225246e-06,54,5
100000001415126100,0,True,1,0,27000.0,0.0,1,0,0.0,0,2,0.0004096189054308049,0.0,23,0
100000001429930100,0,True,1,0,26000.0,0.0,1,0,0.0,0,2,0.00035079789147407785,0.0,14,0
100000001616816100,0,True,5,3,176195.0,181326.0,12,10,1.0291211441868384,0,7,0.002434657190684458,0.00010470096527690845,8,0
100000001732159100,0,True,2,4,2378100.0,1505966.0,30,23,0.633264370716118,2,3,0.0010950567872996845,2.027094433598164e-05,31,0
100000002527114100,0,True,3,111,129000.0,3289249.0,4,113,25.49805426356589,0,0,0.0008111056953132628,0.00019339132695379732,7,1
100000002916006100,0,True,0,1,0.0,32000.0,0,1,,0,0,0.0002855692942172909,0.0,23,0
100000003016635100,0,True,8,73,586981.0,9414081.0,36,151,16.038135817002594,0,3,0.0011896363343877673,0.00721546908244629,2,0
100000003200071100,0,True,0,1,0.0,30000.0,0,1,,0,0,0.0002855692942172909,0.0,80,14
100000003265658100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,87,17
100000003349739100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,88,18
100000003684369100,0,True,24,62,3848436.0,8588655.0,58,67,2.2317260830113845,1,6,0.002020291208486867,0.0023030748381841454,1,0
100000003770083100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,89,19
100000003975102100,0,True,1,2,25650.0,88500.0,1,2,3.4502923976608186,0,1,0.0003454652180169808,5.914683513904559e-06,2,0
100000003977183100,0,True,2,4,123800.0,766000.0,2,6,6.187399030694669,1,1,0.000331460381699444,1.5851748110966993e-06,8,0
100000004007116100,0,True,3,4,764704.0,148000.0,24,6,0.19353893794200108,0,0,0.000627776957324843,3.962937027741748e-07,39,2
100000004019124100,0,True,3,0,193000.0,0.0,3,0,0.0,2,5,0.0012028680902033705,0.0,2,0
100000004021459100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,90,20
100000004041163100,0,True,1,2,50000.0,866000.0,1,6,17.32,1,8,0.0020847480556725217,2.3381328463676314e-05,23,0
100000004174835100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,91,21
100000004193835100,0,True,1,1,47000.0,5000.0,1,1,0.10638297872340426,0,3,0.0004699301396955852,6.6775488917448465e-06,2,0
100000004269433100,0,True,0,1,0.0,1372000.0,0,67,,0,0,0.0002855692942172909,0.0,16,0
100000004358004100,0,True,0,11,0.0,980850.0,0,17,,0,0,0.0002855692942172909,0.0,1,0
100000004388983100,0,True,0,2,0.0,450816.0,0,23,,0,0,0.0002855692942172909,0.0,67,13
100000004714705100,0,True,0,1,0.0,36550.0,0,1,,0,0,0.0002855692942172909,0.0,23,0
100000004723755100,0,True,0,1,0.0,95000.0,0,5,,0,0,0.0002855692942172909,0.0,1,0
100000004813068100,0,True,0,3,0.0,297000.0,0,5,,0,0,0.0002855692942172909,0.0,26,0
100000004971871100,0,True,1,1,25400.0,5650.0,3,1,0.22244094488188976,0,0,0.0007430293125206683,0.0,79,11
100000005017150100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,92,22
100000005087431100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,93,23
100000005235389100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,94,24
100000005264990100,0,True,1,2,17070.0,122000.0,1,2,7.147041593438781,0,2,0.00036399621508450143,7.765375105859955e-05,23,0
100000005370580100,0,True,1,0,24075.0,0.0,1,0,0.0,0,2,0.00034596846648487345,0.0,14,0
100000005382566100,0,True,7,1,393066.0,50000.0,11,1,0.12720510041570626,6,11,0.002113262052157115,4.6366363224578456e-05,23,0
100000005386383100,0,True,2,1,37500.0,29000.0,2,1,0.7733333333333333,0,4,0.0005243332756978218,2.852323925717123e-05,23,0
100000005392290100,0,True,0,1,0.0,81465.0,0,1,,0,0,0.0002855692942172909,0.0,82,15
100000005395727100,0,True,1,0,17000.0,0.0,1,0,0.0,0,3,0.0003712067299561801,0.0,16,0
100000005409680100,0,True,2,0,55060.0,0.0,2,0,0.0,0,4,0.000633528818793162,0.0,21,0
100000005417257100,0,True,0,2,0.0,106000.0,0,2,,0,0,0.0002855692942172909,0.0,23,0
100000005454368100,0,True,2,0,48600.0,0.0,2,0,0.0,0,2,0.00039419296320819405,0.0,14,0
100000005480435100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,95,25
100000005485830100,0,True,0,5,0.0,275885.0,0,9,,0,0,0.0002855692942172909,0.0,46,6
100000005493505100,0,True,3,0,62020.0,0.0,3,0,0.0,1,6,0.0006174200765778783,0.0,1,0
100000005495722100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,96,26
100000005498992100,0,True,0,16,0.0,2262868.0,0,19,,0,0,0.0002855692942172909,0.0,19,0
100000005519347100,0,True,2,1,73100.0,99000.0,2,1,1.3543091655266757,1,4,0.0005567200012967697,1.5191258606343366e-06,2,0
100000005523088100,0,True,1,0,700000.0,0.0,2,0,0.0,1,7,0.0017206377268585411,0.0,23,0
100000005543136100,0,True,0,1,0.0,10000.0,0,1,,0,0,0.0002855692942172909,0.0,1,0
100000005550592100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,97,27
100000005560900100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,98,28
100000005568407100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,99,29
100000005668605100,0,True,3,0,94500.0,0.0,3,0,0.0,1,7,0.0008383018688148934,0.0,23,0
100000005744674100,0,True,0,1,0.0,50066.0,0,2,,0,0,0.0002855692942172909,0.0,23,0
100000006232815100,0,True,1,5,160000.0,296500.0,2,5,1.853125,0,0,0.0005566536352336269,2.774055919419224e-06,42,3
100000006249740100,0,True,0,3,0.0,93007.0,0,5,,0,0,0.0002855692942172909,0.0,53,9
100000006831291100,0,True,0,1,0.0,15000.0,0,3,,0,0,0.0002855692942172909,0.0,53,9
100000006866783100,0,True,13,67,838812.0,3948037.0,31,90,4.706700667133994,0,3,0.000870371947129402,0.0060452252640128745,0,0
100000007018630100,0,True,0,1,0.0,200000.0,0,5,,0,0,0.0002855692942172909,0.0,63,12
100000007747786100,0,True,0,31,0.0,4238009.4,0,35,,0,0,0.0002855692942172909,0.0,11,0
100000007982728100,0,True,0,8,0.0,1804384.0,0,12,,0,0,0.0002855692942172909,0.0,8,0
100000008117324100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,100,30
100000008205000100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,101,31
100000008314203100,0,True,2,2,382076.0,327000.0,10,13,0.8558506684533967,2,3,0.0005029908624026965,0.0,31,0
100000008418835100,0,True,1,4,1372000.0,186179.0,67,6,0.13569897959183674,1,1,0.0005285862410602083,0.00031663866851656567,16,0
100000008513251100,0,True,0,0,0.0,0.0,0,0,,0,0,0.0002855692942172909,0.0,102,32
100000008516839100,0,True,3,0,155000.0,0.0,4,0,0.0,1,3,0.0010695838614429964,0.0,23,0
100000008522127100,0,True,0,1,0.0,145000.0,0,3,,0,0,0.0002855692942172909,0.0,64,0
100000008571433100,0,True,2,2,350000.0,1434000.0,2,3,4.097142857142857,0,0,0.0016264807087207904,9.90734256935437e-07,52,8
100000008575624100,0,True,0,3,0.0,89500.0,0,5,,0,0,0.0002855692942172909,0.0,61,7
100000008601794100,0,True,2,1,494400.0,871400.0,8,13,1.7625404530744337,0,0,0.002367779758018107,3.962937027741748e-07,56,10
100000008637537100,0,True,3,3,619890.0,2351495.0,22,30,3.793406894771653,2,4,0.0008287331534345294,7.75353843868499e-05,31,0
